[2018-10-08T12:05:21.064] [INFO] default - [10.3.135.10 GET /www/css/index-6ffb15d628.css 304 45ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T12:05:21.070] [INFO] default - [10.3.135.10 GET /www/images/logo-e5eaf9963c.png 304 9ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T12:05:21.102] [INFO] default - [10.3.135.10 GET /www/images/userlogo.gif 304 41ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T12:05:21.106] [INFO] default - [10.3.135.10 GET /www/js/xframe-min-1-fac093c236.0.js 304 6ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T12:05:21.120] [INFO] default - [10.3.135.10 GET /www/js/base-0a5a745a5f.js 304 19ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T12:05:21.127] [INFO] default - [10.3.135.10 GET /www/images/weixin-d81945581f.jpg 304 26ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T12:05:22.070] [INFO] default - [10.3.135.10 GET /www/images/big0-ac1f59baaa.jpg 304 7ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T12:05:26.194] [INFO] default - [10.3.135.10 POST /index/1 200 7ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T12:05:32.914] [INFO] default - [10.3.135.10 GET /www/images/big1-32bb887f2a.jpg 304 19ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T12:06:46.855] [INFO] default - [10.3.135.10 GET /www/images/big2-3db3ff8a57.jpg 304 1ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T14:01:52.489] [INFO] default - [10.3.135.10 GET / 200 760ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T14:01:52.500] [INFO] default - [10.3.135.10 GET /www/css/base-fa7f8158cc.css 304 6ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T14:01:52.504] [INFO] default - [10.3.135.10 GET /www/css/index-6ffb15d628.css 304 8ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T14:01:52.508] [INFO] default - [10.3.135.10 GET /www/images/logo-e5eaf9963c.png 304 5ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T14:01:52.510] [INFO] default - [10.3.135.10 GET /www/images/weixin-d81945581f.jpg 304 8ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T14:01:52.513] [INFO] default - [10.3.135.10 GET /www/js/xframe-min-1-fac093c236.0.js 304 11ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T14:01:52.516] [INFO] default - [10.3.135.10 GET /www/js/base-0a5a745a5f.js 304 13ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T14:01:52.946] [INFO] default - [10.3.135.10 GET /www/images/big0-ac1f59baaa.jpg 304 2ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
[2018-10-08T14:01:57.349] [INFO] default - [10.3.135.10 GET /www/images/big1-32bb887f2a.jpg 304 3ms][http://10.3.135.10:10000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36]
